mu: 0.003 gamma: 0.03 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.525467 Regul: 0.027162 Obj: 0.552629 (0.552629)  NNZ: 14 (14)  Ttime: 1.4067 Vtime: 0.2177
Stat: nPR #96 (#112) Dim/MaxDim [768/640] AUC: 0.976656 FPR95: 11.02
Best: 200000  Loss: 0.483408 Regul: 0.027221 Obj: 0.510629 (0.510629)  NNZ: 12 (12)  Ttime: 1.4023 Vtime: 0.0517
Stat: nPR #72 (#96) Dim/MaxDim [576/640] AUC: 0.977309 FPR95: 11.72 [saved]
Best: 300000  Loss: 0.389366 Regul: 0.020766 Obj: 0.410132 (0.410132)  NNZ: 12 (12)  Ttime: 1.4121 Vtime: 0.0515
Stat: nPR #64 (#96) Dim/MaxDim [512/640] AUC: 0.975976 FPR95: 12.28 [saved]
Best: 400000  Loss: 0.210699 Regul: 0.012244 Obj: 0.222943 (0.222943)  NNZ: 11 (11)  Ttime: 1.4029 Vtime: 0.0516
Stat: nPR #76 (#88) Dim/MaxDim [608/640] AUC: 0.979896 FPR95: 9.15 [saved]
Best: 500000  Loss: 0.204809 Regul: 0.009492 Obj: 0.214301 (0.214301)  NNZ: 7 (7)  Ttime: 1.3981 Vtime: 0.0513
Stat: nPR #40 (#56) Dim/MaxDim [320/640] AUC: 0.974608 FPR95: 13.04 [saved]
Step: 600000  Loss: 0.425827 Regul: 0.020415 Obj: 0.446242 (0.214301)  NNZ: 16 (7)  Ttime: 1.4128 Vtime: 0.0515
Step: 700000  Loss: 0.308000 Regul: 0.015679 Obj: 0.323679 (0.214301)  NNZ: 12 (7)  Ttime: 1.3985 Vtime: 0.0517
Step: 800000  Loss: 0.662785 Regul: 0.022298 Obj: 0.685083 (0.214301)  NNZ: 14 (7)  Ttime: 1.3995 Vtime: 0.0519
Best: 900000  Loss: 0.080362 Regul: 0.003056 Obj: 0.083418 (0.083418)  NNZ: 6 (6)  Ttime: 1.4060 Vtime: 0.0515
Stat: nPR #44 (#48) Dim/MaxDim [352/640] AUC: 0.978454 FPR95: 9.56 [saved]
Step: 1000000  Loss: 0.313740 Regul: 0.014477 Obj: 0.328217 (0.083418)  NNZ: 11 (6)  Ttime: 1.3982 Vtime: 0.0514
Step: 1100000  Loss: 0.130227 Regul: 0.004928 Obj: 0.135155 (0.083418)  NNZ: 10 (6)  Ttime: 1.4075 Vtime: 0.0513
Step: 1200000  Loss: 0.351681 Regul: 0.015219 Obj: 0.366899 (0.083418)  NNZ: 11 (6)  Ttime: 1.4098 Vtime: 0.0520
Step: 1300000  Loss: 0.166127 Regul: 0.009477 Obj: 0.175604 (0.083418)  NNZ: 10 (6)  Ttime: 1.4087 Vtime: 0.0513
Step: 1400000  Loss: 0.211447 Regul: 0.005450 Obj: 0.216897 (0.083418)  NNZ: 6 (6)  Ttime: 1.3956 Vtime: 0.0515
Step: 1500000  Loss: 0.182713 Regul: 0.008493 Obj: 0.191206 (0.083418)  NNZ: 6 (6)  Ttime: 1.3997 Vtime: 0.0512
Step: 1600000  Loss: 0.148022 Regul: 0.004961 Obj: 0.152983 (0.083418)  NNZ: 7 (6)  Ttime: 1.4096 Vtime: 0.0516
Step: 1700000  Loss: 0.672672 Regul: 0.008099 Obj: 0.680771 (0.083418)  NNZ: 8 (6)  Ttime: 1.4072 Vtime: 0.0510
Step: 1800000  Loss: 0.110526 Regul: 0.005624 Obj: 0.116149 (0.083418)  NNZ: 10 (6)  Ttime: 1.4039 Vtime: 0.0516
Step: 1900000  Loss: 0.138973 Regul: 0.003867 Obj: 0.142840 (0.083418)  NNZ: 7 (6)  Ttime: 1.3993 Vtime: 0.0514
Step: 2000000  Loss: 0.135031 Regul: 0.005910 Obj: 0.140940 (0.083418)  NNZ: 9 (6)  Ttime: 1.4048 Vtime: 0.0510
Step: 2100000  Loss: 0.122406 Regul: 0.001810 Obj: 0.124216 (0.083418)  NNZ: 4 (6)  Ttime: 1.4046 Vtime: 0.0512
Step: 2200000  Loss: 0.125821 Regul: 0.006199 Obj: 0.132020 (0.083418)  NNZ: 10 (6)  Ttime: 1.4010 Vtime: 0.0513
Step: 2300000  Loss: 0.219848 Regul: 0.010014 Obj: 0.229862 (0.083418)  NNZ: 11 (6)  Ttime: 1.3968 Vtime: 0.0519
Step: 2400000  Loss: 0.130533 Regul: 0.006458 Obj: 0.136991 (0.083418)  NNZ: 11 (6)  Ttime: 1.4070 Vtime: 0.0518
Step: 2500000  Loss: 0.181396 Regul: 0.009569 Obj: 0.190965 (0.083418)  NNZ: 13 (6)  Ttime: 1.4073 Vtime: 0.0518
Step: 2600000  Loss: 0.231023 Regul: 0.008802 Obj: 0.239825 (0.083418)  NNZ: 10 (6)  Ttime: 1.4002 Vtime: 0.0517
Step: 2700000  Loss: 0.232296 Regul: 0.010404 Obj: 0.242699 (0.083418)  NNZ: 13 (6)  Ttime: 1.3984 Vtime: 0.0515
Step: 2800000  Loss: 0.122047 Regul: 0.005968 Obj: 0.128015 (0.083418)  NNZ: 9 (6)  Ttime: 1.4011 Vtime: 0.0515
Step: 2900000  Loss: 0.119933 Regul: 0.006597 Obj: 0.126530 (0.083418)  NNZ: 8 (6)  Ttime: 1.4066 Vtime: 0.0516
Step: 3000000  Loss: 0.098226 Regul: 0.004259 Obj: 0.102485 (0.083418)  NNZ: 9 (6)  Ttime: 1.4100 Vtime: 0.0512
Step: 3100000  Loss: 0.439311 Regul: 0.006602 Obj: 0.445912 (0.083418)  NNZ: 8 (6)  Ttime: 1.3938 Vtime: 0.0515
Step: 3200000  Loss: 0.091265 Regul: 0.003427 Obj: 0.094692 (0.083418)  NNZ: 9 (6)  Ttime: 1.3994 Vtime: 0.0518
Best: 3300000  Loss: 0.066998 Regul: 0.002323 Obj: 0.069321 (0.069321)  NNZ: 6 (6)  Ttime: 1.4082 Vtime: 0.0519
Stat: nPR #40 (#48) Dim/MaxDim [320/640] AUC: 0.978912 FPR95: 9.28 [saved]
Step: 3400000  Loss: 0.102372 Regul: 0.003104 Obj: 0.105476 (0.069321)  NNZ: 6 (6)  Ttime: 1.3991 Vtime: 0.0517
Step: 3500000  Loss: 0.115133 Regul: 0.006302 Obj: 0.121434 (0.069321)  NNZ: 10 (6)  Ttime: 1.4042 Vtime: 0.0511
Step: 3600000  Loss: 0.079973 Regul: 0.002874 Obj: 0.082847 (0.069321)  NNZ: 7 (6)  Ttime: 1.4514 Vtime: 0.0513
Step: 3700000  Loss: 0.106074 Regul: 0.005234 Obj: 0.111308 (0.069321)  NNZ: 10 (6)  Ttime: 1.4042 Vtime: 0.0519
Step: 3800000  Loss: 0.117397 Regul: 0.006926 Obj: 0.124323 (0.069321)  NNZ: 13 (6)  Ttime: 1.3967 Vtime: 0.0520
Step: 3900000  Loss: 0.108376 Regul: 0.005202 Obj: 0.113578 (0.069321)  NNZ: 13 (6)  Ttime: 1.4036 Vtime: 0.0518
Step: 4000000  Loss: 0.208154 Regul: 0.005251 Obj: 0.213405 (0.069321)  NNZ: 11 (6)  Ttime: 1.4097 Vtime: 0.0515
Step: 4100000  Loss: 0.335555 Regul: 0.010686 Obj: 0.346242 (0.069321)  NNZ: 15 (6)  Ttime: 1.4010 Vtime: 0.0518
Step: 4200000  Loss: 0.115920 Regul: 0.006001 Obj: 0.121921 (0.069321)  NNZ: 11 (6)  Ttime: 1.3936 Vtime: 0.0515
Step: 4300000  Loss: 0.079995 Regul: 0.002699 Obj: 0.082695 (0.069321)  NNZ: 5 (6)  Ttime: 1.4016 Vtime: 0.0512
Step: 4400000  Loss: 0.142848 Regul: 0.007439 Obj: 0.150287 (0.069321)  NNZ: 12 (6)  Ttime: 1.4081 Vtime: 0.0515
Step: 4500000  Loss: 0.138707 Regul: 0.004196 Obj: 0.142903 (0.069321)  NNZ: 12 (6)  Ttime: 1.4066 Vtime: 0.0518
Step: 4600000  Loss: 0.173888 Regul: 0.008092 Obj: 0.181980 (0.069321)  NNZ: 11 (6)  Ttime: 1.3962 Vtime: 0.0508
Step: 4700000  Loss: 0.072315 Regul: 0.001005 Obj: 0.073320 (0.069321)  NNZ: 3 (6)  Ttime: 1.4030 Vtime: 0.0525
Step: 4800000  Loss: 0.094617 Regul: 0.002831 Obj: 0.097448 (0.069321)  NNZ: 6 (6)  Ttime: 1.4171 Vtime: 0.0508
Step: 4900000  Loss: 0.101066 Regul: 0.004531 Obj: 0.105597 (0.069321)  NNZ: 7 (6)  Ttime: 1.4048 Vtime: 0.0516
Step: 5000000  Loss: 0.120623 Regul: 0.006196 Obj: 0.126819 (0.069321)  NNZ: 12 (6)  Ttime: 1.3999 Vtime: 0.0519
Step: 5100000  Loss: 0.145680 Regul: 0.007184 Obj: 0.152864 (0.069321)  NNZ: 13 (6)  Ttime: 1.4065 Vtime: 0.0512
Step: 5200000  Loss: 0.094534 Regul: 0.004323 Obj: 0.098856 (0.069321)  NNZ: 10 (6)  Ttime: 1.4037 Vtime: 0.0523
Step: 5300000  Loss: 0.101229 Regul: 0.004678 Obj: 0.105907 (0.069321)  NNZ: 8 (6)  Ttime: 1.4046 Vtime: 0.0519
Step: 5400000  Loss: 0.117955 Regul: 0.006405 Obj: 0.124360 (0.069321)  NNZ: 14 (6)  Ttime: 1.4034 Vtime: 0.0524
Step: 5500000  Loss: 0.098300 Regul: 0.003882 Obj: 0.102182 (0.069321)  NNZ: 11 (6)  Ttime: 1.3982 Vtime: 0.0514
Step: 5600000  Loss: 0.105756 Regul: 0.004484 Obj: 0.110240 (0.069321)  NNZ: 8 (6)  Ttime: 1.4059 Vtime: 0.0520
Step: 5700000  Loss: 0.082680 Regul: 0.001295 Obj: 0.083975 (0.069321)  NNZ: 4 (6)  Ttime: 1.4082 Vtime: 0.0515
Step: 5800000  Loss: 0.112301 Regul: 0.004400 Obj: 0.116701 (0.069321)  NNZ: 9 (6)  Ttime: 1.4058 Vtime: 0.0515
Step: 5900000  Loss: 0.143607 Regul: 0.006797 Obj: 0.150404 (0.069321)  NNZ: 11 (6)  Ttime: 1.3974 Vtime: 0.0513
Best: 6000000  Loss: 0.066420 Regul: 0.002075 Obj: 0.068494 (0.068494)  NNZ: 7 (7)  Ttime: 1.4017 Vtime: 0.0516
Stat: nPR #52 (#56) Dim/MaxDim [416/640] AUC: 0.978283 FPR95: 10.19 [saved]
Step: 6100000  Loss: 0.075628 Regul: 0.002952 Obj: 0.078580 (0.068494)  NNZ: 7 (7)  Ttime: 1.3994 Vtime: 0.0518
Step: 6200000  Loss: 0.070818 Regul: 0.002212 Obj: 0.073030 (0.068494)  NNZ: 6 (7)  Ttime: 1.4024 Vtime: 0.0509
Step: 6300000  Loss: 0.125280 Regul: 0.004156 Obj: 0.129435 (0.068494)  NNZ: 10 (7)  Ttime: 1.4054 Vtime: 0.0516
Step: 6400000  Loss: 0.140843 Regul: 0.007308 Obj: 0.148151 (0.068494)  NNZ: 14 (7)  Ttime: 1.4060 Vtime: 0.0512
Step: 6500000  Loss: 0.084173 Regul: 0.001388 Obj: 0.085561 (0.068494)  NNZ: 5 (7)  Ttime: 1.3995 Vtime: 0.0508
Step: 6600000  Loss: 0.077570 Regul: 0.003589 Obj: 0.081159 (0.068494)  NNZ: 11 (7)  Ttime: 1.3999 Vtime: 0.0515
Step: 6700000  Loss: 0.114192 Regul: 0.005469 Obj: 0.119661 (0.068494)  NNZ: 12 (7)  Ttime: 1.4037 Vtime: 0.0516
Step: 6800000  Loss: 0.089385 Regul: 0.003381 Obj: 0.092766 (0.068494)  NNZ: 14 (7)  Ttime: 1.4078 Vtime: 0.0514
Step: 6900000  Loss: 0.113050 Regul: 0.006776 Obj: 0.119827 (0.068494)  NNZ: 19 (7)  Ttime: 1.4018 Vtime: 0.0511
Step: 7000000  Loss: 0.067585 Regul: 0.002900 Obj: 0.070484 (0.068494)  NNZ: 9 (7)  Ttime: 1.3964 Vtime: 0.0519
Step: 7100000  Loss: 0.072022 Regul: 0.002918 Obj: 0.074940 (0.068494)  NNZ: 6 (7)  Ttime: 1.4007 Vtime: 0.0515
