mu: 0.05 gamma: 0.005 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.457176 Regul: 0.073865 Obj: 0.531041 (0.531041)  NNZ: 1 (1)  Ttime: 1.3871 Vtime: 0.2102
Stat: nPR #4 (#8) Dim/MaxDim [32/640] AUC: 0.930535 FPR95: 38.87 [saved]
Step: 200000  Loss: 1.592444 Regul: 0.783960 Obj: 2.376404 (0.531041)  NNZ: 5 (1)  Ttime: 1.3883 Vtime: 0.0511
Best: 300000  Loss: 0.287547 Regul: 0.115430 Obj: 0.402977 (0.402977)  NNZ: 2 (2)  Ttime: 1.3851 Vtime: 0.0508
Stat: nPR #12 (#16) Dim/MaxDim [96/640] AUC: 0.962519 FPR95: 22.72 [saved]
Step: 400000  Loss: 0.408777 Regul: 0.190576 Obj: 0.599353 (0.402977)  NNZ: 4 (2)  Ttime: 1.3838 Vtime: 0.0508
Step: 500000  Loss: 0.782343 Regul: 0.460376 Obj: 1.242719 (0.402977)  NNZ: 5 (2)  Ttime: 1.3840 Vtime: 0.0519
Step: 600000  Loss: 0.391596 Regul: 0.186157 Obj: 0.577753 (0.402977)  NNZ: 4 (2)  Ttime: 1.3833 Vtime: 0.0505
Step: 700000  Loss: 1.103741 Regul: 0.618213 Obj: 1.721954 (0.402977)  NNZ: 7 (2)  Ttime: 1.3852 Vtime: 0.0513
Step: 800000  Loss: 0.593991 Regul: 0.329785 Obj: 0.923776 (0.402977)  NNZ: 5 (2)  Ttime: 1.3852 Vtime: 0.0515
Step: 900000  Loss: 0.500124 Regul: 0.218652 Obj: 0.718776 (0.402977)  NNZ: 3 (2)  Ttime: 1.3843 Vtime: 0.0517
Step: 1000000  Loss: 0.731891 Regul: 0.364551 Obj: 1.096442 (0.402977)  NNZ: 4 (2)  Ttime: 1.3848 Vtime: 0.0518
Step: 1100000  Loss: 0.324148 Regul: 0.149805 Obj: 0.473953 (0.402977)  NNZ: 3 (2)  Ttime: 1.3873 Vtime: 0.0508
Step: 1200000  Loss: 1.209075 Regul: 0.687549 Obj: 1.896624 (0.402977)  NNZ: 7 (2)  Ttime: 1.3845 Vtime: 0.0516
Step: 1300000  Loss: 0.373112 Regul: 0.125293 Obj: 0.498405 (0.402977)  NNZ: 3 (2)  Ttime: 1.3953 Vtime: 0.0515
Step: 1400000  Loss: 0.278136 Regul: 0.147314 Obj: 0.425450 (0.402977)  NNZ: 5 (2)  Ttime: 1.3866 Vtime: 0.0509
Step: 1500000  Loss: 0.948015 Regul: 0.543262 Obj: 1.491277 (0.402977)  NNZ: 7 (2)  Ttime: 1.3853 Vtime: 0.0518
Step: 1600000  Loss: 0.348401 Regul: 0.148340 Obj: 0.496741 (0.402977)  NNZ: 2 (2)  Ttime: 1.3867 Vtime: 0.0513
Step: 1700000  Loss: 0.758146 Regul: 0.218115 Obj: 0.976261 (0.402977)  NNZ: 3 (2)  Ttime: 1.3826 Vtime: 0.0511
Step: 1800000  Loss: 0.436837 Regul: 0.205908 Obj: 0.642745 (0.402977)  NNZ: 5 (2)  Ttime: 1.3859 Vtime: 0.0511
Best: 1900000  Loss: 0.193177 Regul: 0.095020 Obj: 0.288197 (0.288197)  NNZ: 3 (3)  Ttime: 1.3867 Vtime: 0.0512
Stat: nPR #20 (#24) Dim/MaxDim [160/640] AUC: 0.969150 FPR95: 17.60 [saved]
Step: 2000000  Loss: 0.622479 Regul: 0.347119 Obj: 0.969598 (0.288197)  NNZ: 6 (3)  Ttime: 1.3858 Vtime: 0.0510
Step: 2100000  Loss: 0.393780 Regul: 0.162451 Obj: 0.556231 (0.288197)  NNZ: 3 (3)  Ttime: 1.3878 Vtime: 0.0513
Step: 2200000  Loss: 0.497865 Regul: 0.286572 Obj: 0.784438 (0.288197)  NNZ: 6 (3)  Ttime: 1.3867 Vtime: 0.0513
Step: 2300000  Loss: 1.106396 Regul: 0.546289 Obj: 1.652685 (0.288197)  NNZ: 9 (3)  Ttime: 1.3865 Vtime: 0.0520
Step: 2400000  Loss: 0.819892 Regul: 0.452148 Obj: 1.272040 (0.288197)  NNZ: 9 (3)  Ttime: 1.3838 Vtime: 0.0515
Step: 2500000  Loss: 1.060169 Regul: 0.479102 Obj: 1.539270 (0.288197)  NNZ: 8 (3)  Ttime: 1.3865 Vtime: 0.0518
Step: 2600000  Loss: 0.301323 Regul: 0.144482 Obj: 0.445806 (0.288197)  NNZ: 3 (3)  Ttime: 1.3846 Vtime: 0.0507
Step: 2700000  Loss: 0.290500 Regul: 0.117676 Obj: 0.408176 (0.288197)  NNZ: 3 (3)  Ttime: 1.3837 Vtime: 0.0512
Step: 2800000  Loss: 0.291989 Regul: 0.088086 Obj: 0.380075 (0.288197)  NNZ: 3 (3)  Ttime: 1.3858 Vtime: 0.0515
Step: 2900000  Loss: 0.261903 Regul: 0.099316 Obj: 0.361219 (0.288197)  NNZ: 4 (3)  Ttime: 1.3866 Vtime: 0.0516
Best: 3000000  Loss: 0.152427 Regul: 0.070605 Obj: 0.223032 (0.223032)  NNZ: 3 (3)  Ttime: 1.3862 Vtime: 0.0510
Stat: nPR #20 (#24) Dim/MaxDim [160/640] AUC: 0.968758 FPR95: 17.68 [saved]
Step: 3100000  Loss: 0.263606 Regul: 0.104395 Obj: 0.368001 (0.223032)  NNZ: 4 (3)  Ttime: 1.3866 Vtime: 0.0515
Step: 3200000  Loss: 0.288431 Regul: 0.136035 Obj: 0.424466 (0.223032)  NNZ: 5 (3)  Ttime: 1.3864 Vtime: 0.0511
Step: 3300000  Loss: 0.440227 Regul: 0.168848 Obj: 0.609074 (0.223032)  NNZ: 5 (3)  Ttime: 1.3874 Vtime: 0.0521
Step: 3400000  Loss: 0.275585 Regul: 0.144629 Obj: 0.420214 (0.223032)  NNZ: 8 (3)  Ttime: 1.3836 Vtime: 0.0510
Step: 3500000  Loss: 0.535564 Regul: 0.168652 Obj: 0.704216 (0.223032)  NNZ: 6 (3)  Ttime: 1.3876 Vtime: 0.0518
Step: 3600000  Loss: 0.689378 Regul: 0.318262 Obj: 1.007639 (0.223032)  NNZ: 7 (3)  Ttime: 1.3847 Vtime: 0.0511
Step: 3700000  Loss: 0.778571 Regul: 0.275684 Obj: 1.054254 (0.223032)  NNZ: 7 (3)  Ttime: 1.3839 Vtime: 0.0515
Step: 3800000  Loss: 0.228617 Regul: 0.095605 Obj: 0.324223 (0.223032)  NNZ: 5 (3)  Ttime: 1.3864 Vtime: 0.0509
Step: 3900000  Loss: 0.168425 Regul: 0.058984 Obj: 0.227410 (0.223032)  NNZ: 3 (3)  Ttime: 1.3836 Vtime: 0.0515
Step: 4000000  Loss: 0.799713 Regul: 0.051367 Obj: 0.851080 (0.223032)  NNZ: 2 (3)  Ttime: 1.3846 Vtime: 0.0517
Best: 4100000  Loss: 0.120547 Regul: 0.042383 Obj: 0.162930 (0.162930)  NNZ: 3 (3)  Ttime: 1.3857 Vtime: 0.0513
Stat: nPR #20 (#24) Dim/MaxDim [160/640] AUC: 0.965406 FPR95: 19.92 [saved]
Step: 4200000  Loss: 0.322331 Regul: 0.054590 Obj: 0.376921 (0.162930)  NNZ: 1 (3)  Ttime: 1.3867 Vtime: 0.0510
Step: 4300000  Loss: 0.766022 Regul: 0.289941 Obj: 1.055963 (0.162930)  NNZ: 7 (3)  Ttime: 1.3850 Vtime: 0.0506
Step: 4400000  Loss: 0.186470 Regul: 0.005664 Obj: 0.192134 (0.162930)  NNZ: 1 (3)  Ttime: 1.3844 Vtime: 0.0511
Step: 4500000  Loss: 0.201658 Regul: 0.109375 Obj: 0.311033 (0.162930)  NNZ: 4 (3)  Ttime: 1.3849 Vtime: 0.0517
Best: 4600000  Loss: 0.088453 Regul: 0.020605 Obj: 0.109058 (0.109058)  NNZ: 2 (2)  Ttime: 1.3848 Vtime: 0.0505
Stat: nPR #16 (#16) Dim/MaxDim [128/640] AUC: 0.966542 FPR95: 19.35 [saved]
Step: 4700000  Loss: 0.336102 Regul: 0.159961 Obj: 0.496063 (0.109058)  NNZ: 6 (2)  Ttime: 1.3859 Vtime: 0.0509
Step: 4800000  Loss: 0.162266 Regul: 0.011523 Obj: 0.173790 (0.109058)  NNZ: 1 (2)  Ttime: 1.3856 Vtime: 0.0514
Step: 4900000  Loss: 0.208891 Regul: 0.075684 Obj: 0.284575 (0.109058)  NNZ: 3 (2)  Ttime: 1.3860 Vtime: 0.0509
Step: 5000000  Loss: 0.792700 Regul: 0.179883 Obj: 0.972583 (0.109058)  NNZ: 6 (2)  Ttime: 1.3864 Vtime: 0.0515
Step: 5100000  Loss: 0.394280 Regul: 0.144336 Obj: 0.538616 (0.109058)  NNZ: 4 (2)  Ttime: 1.3847 Vtime: 0.0511
