mu: 0.015 gamma: 0.025 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.968580 Regul: 0.244482 Obj: 1.213062 (1.213062)  NNZ: 21 (21)  Ttime: 1.4020 Vtime: 0.2586
Stat: nPR #148 (#168) Dim/MaxDim [1184/640] AUC: 0.977356 FPR95: 10.47
Best: 200000  Loss: 0.427032 Regul: 0.118577 Obj: 0.545609 (0.545609)  NNZ: 9 (9)  Ttime: 1.4193 Vtime: 0.0510
Stat: nPR #60 (#72) Dim/MaxDim [480/640] AUC: 0.978971 FPR95: 9.63 [saved]
Best: 300000  Loss: 0.117054 Regul: 0.018000 Obj: 0.135055 (0.135055)  NNZ: 4 (4)  Ttime: 1.4243 Vtime: 0.0524
Stat: nPR #24 (#32) Dim/MaxDim [192/640] AUC: 0.972973 FPR95: 15.25 [saved]
Step: 400000  Loss: 0.316477 Regul: 0.044900 Obj: 0.361378 (0.135055)  NNZ: 7 (4)  Ttime: 1.4162 Vtime: 0.0512
Step: 500000  Loss: 0.199838 Regul: 0.031618 Obj: 0.231456 (0.135055)  NNZ: 8 (4)  Ttime: 1.4128 Vtime: 0.0527
Step: 600000  Loss: 0.301148 Regul: 0.061152 Obj: 0.362300 (0.135055)  NNZ: 7 (4)  Ttime: 1.4456 Vtime: 0.0515
Step: 700000  Loss: 0.196749 Regul: 0.045275 Obj: 0.242024 (0.135055)  NNZ: 11 (4)  Ttime: 1.4291 Vtime: 0.0520
Best: 800000  Loss: 0.076092 Regul: 0.011419 Obj: 0.087511 (0.087511)  NNZ: 4 (4)  Ttime: 1.5380 Vtime: 0.0549
Stat: nPR #24 (#32) Dim/MaxDim [192/640] AUC: 0.976205 FPR95: 11.99 [saved]
Step: 900000  Loss: 0.187546 Regul: 0.038600 Obj: 0.226145 (0.087511)  NNZ: 7 (4)  Ttime: 1.4263 Vtime: 0.0519
Step: 1000000  Loss: 0.255685 Regul: 0.063229 Obj: 0.318914 (0.087511)  NNZ: 9 (4)  Ttime: 1.4603 Vtime: 0.0542
Step: 1100000  Loss: 0.188112 Regul: 0.037704 Obj: 0.225816 (0.087511)  NNZ: 6 (4)  Ttime: 1.4482 Vtime: 0.0523
Step: 1200000  Loss: 0.550735 Regul: 0.080529 Obj: 0.631264 (0.087511)  NNZ: 9 (4)  Ttime: 1.4430 Vtime: 0.0526
Step: 1300000  Loss: 0.124631 Regul: 0.030257 Obj: 0.154888 (0.087511)  NNZ: 7 (4)  Ttime: 1.4699 Vtime: 0.0515
Step: 1400000  Loss: 0.080114 Regul: 0.008004 Obj: 0.088118 (0.087511)  NNZ: 5 (4)  Ttime: 1.4352 Vtime: 0.0516
Step: 1500000  Loss: 0.251814 Regul: 0.055112 Obj: 0.306926 (0.087511)  NNZ: 10 (4)  Ttime: 1.4454 Vtime: 0.0511
Step: 1600000  Loss: 0.193436 Regul: 0.034459 Obj: 0.227895 (0.087511)  NNZ: 7 (4)  Ttime: 1.4426 Vtime: 0.0516
Step: 1700000  Loss: 0.161974 Regul: 0.021829 Obj: 0.183803 (0.087511)  NNZ: 6 (4)  Ttime: 1.4337 Vtime: 0.0556
Step: 1800000  Loss: 0.115019 Regul: 0.028867 Obj: 0.143886 (0.087511)  NNZ: 8 (4)  Ttime: 1.4612 Vtime: 0.0515
Step: 1900000  Loss: 0.179781 Regul: 0.034232 Obj: 0.214013 (0.087511)  NNZ: 10 (4)  Ttime: 1.4161 Vtime: 0.0517
Step: 2000000  Loss: 0.118025 Regul: 0.018945 Obj: 0.136970 (0.087511)  NNZ: 7 (4)  Ttime: 1.4491 Vtime: 0.0515
Step: 2100000  Loss: 0.111592 Regul: 0.021469 Obj: 0.133061 (0.087511)  NNZ: 5 (4)  Ttime: 1.4514 Vtime: 0.0509
Step: 2200000  Loss: 0.098460 Regul: 0.023979 Obj: 0.122439 (0.087511)  NNZ: 8 (4)  Ttime: 1.4242 Vtime: 0.0509
Step: 2300000  Loss: 0.110985 Regul: 0.018911 Obj: 0.129896 (0.087511)  NNZ: 3 (4)  Ttime: 1.4203 Vtime: 0.0509
Step: 2400000  Loss: 0.121407 Regul: 0.025899 Obj: 0.147306 (0.087511)  NNZ: 9 (4)  Ttime: 1.4145 Vtime: 0.0508
Step: 2500000  Loss: 0.125054 Regul: 0.018905 Obj: 0.143959 (0.087511)  NNZ: 10 (4)  Ttime: 1.4226 Vtime: 0.0523
Step: 2600000  Loss: 0.150109 Regul: 0.030942 Obj: 0.181051 (0.087511)  NNZ: 7 (4)  Ttime: 1.4426 Vtime: 0.0510
Step: 2700000  Loss: 0.111990 Regul: 0.024129 Obj: 0.136119 (0.087511)  NNZ: 8 (4)  Ttime: 1.4237 Vtime: 0.0512
