mu: 0.02 gamma: 0.075 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.174456 Regul: 0.007786 Obj: 0.182242 (0.182242)  NNZ: 2 (2)  Ttime: 1.4159 Vtime: 0.2248
Stat: nPR #12 (#16) Dim/MaxDim [96/640] AUC: 0.931481 FPR95: 38.75 [saved]
Step: 200000  Loss: 0.208764 Regul: 0.044693 Obj: 0.253457 (0.182242)  NNZ: 13 (2)  Ttime: 1.4080 Vtime: 0.0522
Best: 300000  Loss: 0.109449 Regul: 0.011446 Obj: 0.120894 (0.120894)  NNZ: 5 (5)  Ttime: 1.4061 Vtime: 0.0514
Stat: nPR #32 (#40) Dim/MaxDim [256/640] AUC: 0.962776 FPR95: 22.14 [saved]
Step: 400000  Loss: 0.125440 Regul: 0.014892 Obj: 0.140332 (0.120894)  NNZ: 5 (5)  Ttime: 1.4071 Vtime: 0.0511
Step: 500000  Loss: 0.109504 Regul: 0.018288 Obj: 0.127792 (0.120894)  NNZ: 7 (5)  Ttime: 1.4082 Vtime: 0.0507
Best: 600000  Loss: 0.079038 Regul: 0.006228 Obj: 0.085267 (0.085267)  NNZ: 8 (8)  Ttime: 1.4083 Vtime: 0.0510
Stat: nPR #52 (#64) Dim/MaxDim [416/640] AUC: 0.969606 FPR95: 17.01 [saved]
Step: 700000  Loss: 0.121396 Regul: 0.022179 Obj: 0.143575 (0.085267)  NNZ: 9 (8)  Ttime: 1.4073 Vtime: 0.0516
Step: 800000  Loss: 0.244948 Regul: 0.062453 Obj: 0.307400 (0.085267)  NNZ: 15 (8)  Ttime: 1.4056 Vtime: 0.0524
Step: 900000  Loss: 0.147970 Regul: 0.028566 Obj: 0.176536 (0.085267)  NNZ: 10 (8)  Ttime: 1.4074 Vtime: 0.0513
Step: 1000000  Loss: 0.123412 Regul: 0.016543 Obj: 0.139954 (0.085267)  NNZ: 11 (8)  Ttime: 1.4092 Vtime: 0.0514
