mu: 0.045 gamma: 0.1 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.108402 Regul: 0.057516 Obj: 0.165918 (0.165918)  NNZ: 10 (10)  Ttime: 1.4132 Vtime: 0.2818
Stat: nPR #80 (#80) Dim/MaxDim [640/640] AUC: 0.976155 FPR95: 11.67 [saved]
Best: 200000  Loss: 0.092464 Regul: 0.049126 Obj: 0.141590 (0.141590)  NNZ: 9 (9)  Ttime: 1.3997 Vtime: 0.0514
Stat: nPR #60 (#72) Dim/MaxDim [480/640] AUC: 0.976558 FPR95: 12.57 [saved]
Step: 300000  Loss: 0.112076 Regul: 0.053036 Obj: 0.165112 (0.141590)  NNZ: 8 (9)  Ttime: 1.3977 Vtime: 0.0513
Best: 400000  Loss: 0.066783 Regul: 0.029033 Obj: 0.095815 (0.095815)  NNZ: 6 (6)  Ttime: 1.4002 Vtime: 0.0509
Stat: nPR #44 (#48) Dim/MaxDim [352/640] AUC: 0.977672 FPR95: 10.58 [saved]
Step: 500000  Loss: 0.091210 Regul: 0.048046 Obj: 0.139256 (0.095815)  NNZ: 10 (6)  Ttime: 1.4008 Vtime: 0.0521
Step: 600000  Loss: 0.104599 Regul: 0.083296 Obj: 0.187894 (0.095815)  NNZ: 12 (6)  Ttime: 1.4023 Vtime: 0.0521
Step: 700000  Loss: 0.110167 Regul: 0.041303 Obj: 0.151470 (0.095815)  NNZ: 11 (6)  Ttime: 1.3999 Vtime: 0.0511
Best: 800000  Loss: 0.068941 Regul: 0.018520 Obj: 0.087461 (0.087461)  NNZ: 4 (4)  Ttime: 1.4027 Vtime: 0.0515
Stat: nPR #28 (#32) Dim/MaxDim [224/640] AUC: 0.974150 FPR95: 13.98 [saved]
Step: 900000  Loss: 0.082931 Regul: 0.014919 Obj: 0.097850 (0.087461)  NNZ: 4 (4)  Ttime: 1.4043 Vtime: 0.0518
Step: 1000000  Loss: 0.078396 Regul: 0.028750 Obj: 0.107145 (0.087461)  NNZ: 8 (4)  Ttime: 1.4007 Vtime: 0.0511
Best: 1100000  Loss: 0.063066 Regul: 0.023810 Obj: 0.086876 (0.086876)  NNZ: 9 (9)  Ttime: 1.3994 Vtime: 0.0521
Stat: nPR #68 (#72) Dim/MaxDim [544/640] AUC: 0.977327 FPR95: 11.26 [saved]
Step: 1200000  Loss: 0.069478 Regul: 0.034206 Obj: 0.103684 (0.086876)  NNZ: 8 (9)  Ttime: 1.4024 Vtime: 0.0516
Best: 1300000  Loss: 0.059477 Regul: 0.018553 Obj: 0.078030 (0.078030)  NNZ: 6 (6)  Ttime: 1.4008 Vtime: 0.0519
Stat: nPR #40 (#48) Dim/MaxDim [320/640] AUC: 0.977785 FPR95: 10.18 [saved]
Step: 1400000  Loss: 0.067265 Regul: 0.018248 Obj: 0.085514 (0.078030)  NNZ: 6 (6)  Ttime: 1.4043 Vtime: 0.0513
Step: 1500000  Loss: 0.070373 Regul: 0.027842 Obj: 0.098215 (0.078030)  NNZ: 5 (6)  Ttime: 1.4012 Vtime: 0.0509
Step: 1600000  Loss: 0.068217 Regul: 0.017888 Obj: 0.086106 (0.078030)  NNZ: 10 (6)  Ttime: 1.4003 Vtime: 0.0516
Step: 1700000  Loss: 0.091574 Regul: 0.017704 Obj: 0.109279 (0.078030)  NNZ: 7 (6)  Ttime: 1.4019 Vtime: 0.0517
Step: 1800000  Loss: 0.059102 Regul: 0.024623 Obj: 0.083726 (0.078030)  NNZ: 8 (6)  Ttime: 1.4018 Vtime: 0.0512
Step: 1900000  Loss: 0.077382 Regul: 0.019611 Obj: 0.096993 (0.078030)  NNZ: 5 (6)  Ttime: 1.4012 Vtime: 0.0514
Step: 2000000  Loss: 0.165262 Regul: 0.052419 Obj: 0.217681 (0.078030)  NNZ: 14 (6)  Ttime: 1.4016 Vtime: 0.0517
Step: 2100000  Loss: 0.113073 Regul: 0.023338 Obj: 0.136410 (0.078030)  NNZ: 7 (6)  Ttime: 1.4010 Vtime: 0.0521
Step: 2200000  Loss: 0.064469 Regul: 0.032698 Obj: 0.097167 (0.078030)  NNZ: 9 (6)  Ttime: 1.4012 Vtime: 0.0521
Step: 2300000  Loss: 0.070692 Regul: 0.026016 Obj: 0.096708 (0.078030)  NNZ: 8 (6)  Ttime: 1.4009 Vtime: 0.0513
Step: 2400000  Loss: 0.065010 Regul: 0.034269 Obj: 0.099279 (0.078030)  NNZ: 11 (6)  Ttime: 1.4031 Vtime: 0.0517
Step: 2500000  Loss: 0.068669 Regul: 0.018943 Obj: 0.087612 (0.078030)  NNZ: 6 (6)  Ttime: 1.4045 Vtime: 0.0513
Step: 2600000  Loss: 0.079888 Regul: 0.040399 Obj: 0.120287 (0.078030)  NNZ: 7 (6)  Ttime: 1.4051 Vtime: 0.0517
Step: 2700000  Loss: 0.073765 Regul: 0.047260 Obj: 0.121026 (0.078030)  NNZ: 11 (6)  Ttime: 1.4042 Vtime: 0.0520
Best: 2800000  Loss: 0.054442 Regul: 0.023555 Obj: 0.077997 (0.077997)  NNZ: 9 (9)  Ttime: 1.4018 Vtime: 0.0514
Stat: nPR #60 (#72) Dim/MaxDim [480/640] AUC: 0.980238 FPR95: 8.70 [saved]
Step: 2900000  Loss: 0.067921 Regul: 0.025431 Obj: 0.093352 (0.077997)  NNZ: 8 (9)  Ttime: 1.4010 Vtime: 0.0515
Step: 3000000  Loss: 0.072241 Regul: 0.035035 Obj: 0.107277 (0.077997)  NNZ: 12 (9)  Ttime: 1.4025 Vtime: 0.0515
Best: 3100000  Loss: 0.052412 Regul: 0.020426 Obj: 0.072838 (0.072838)  NNZ: 7 (7)  Ttime: 1.4005 Vtime: 0.0518
Stat: nPR #48 (#56) Dim/MaxDim [384/640] AUC: 0.980377 FPR95: 8.65 [saved]
Step: 3200000  Loss: 0.109507 Regul: 0.018811 Obj: 0.128318 (0.072838)  NNZ: 6 (7)  Ttime: 1.4081 Vtime: 0.0504
Step: 3300000  Loss: 0.058981 Regul: 0.019020 Obj: 0.078001 (0.072838)  NNZ: 9 (7)  Ttime: 1.3997 Vtime: 0.0512
Step: 3400000  Loss: 0.071970 Regul: 0.026249 Obj: 0.098220 (0.072838)  NNZ: 11 (7)  Ttime: 1.4007 Vtime: 0.0518
Step: 3500000  Loss: 0.064144 Regul: 0.039567 Obj: 0.103711 (0.072838)  NNZ: 11 (7)  Ttime: 1.4045 Vtime: 0.0514
