mu: 0.05 gamma: 0.025 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.169644 Regul: 0.106549 Obj: 0.276193 (0.276193)  NNZ: 4 (4)  Ttime: 1.4021 Vtime: 0.2120
Stat: nPR #24 (#32) Dim/MaxDim [192/640] AUC: 0.969643 FPR95: 19.59 [saved]
Step: 200000  Loss: 0.159633 Regul: 0.132141 Obj: 0.291775 (0.276193)  NNZ: 6 (4)  Ttime: 1.3984 Vtime: 0.0515
Step: 300000  Loss: 0.203238 Regul: 0.151569 Obj: 0.354807 (0.276193)  NNZ: 8 (4)  Ttime: 1.3943 Vtime: 0.0519
Step: 400000  Loss: 2.148969 Regul: 0.304797 Obj: 2.453767 (0.276193)  NNZ: 14 (4)  Ttime: 1.3941 Vtime: 0.0510
Best: 500000  Loss: 0.121290 Regul: 0.097742 Obj: 0.219032 (0.219032)  NNZ: 6 (6)  Ttime: 1.3972 Vtime: 0.0519
Stat: nPR #40 (#48) Dim/MaxDim [320/640] AUC: 0.975494 FPR95: 14.56 [saved]
Best: 600000  Loss: 0.124265 Regul: 0.041620 Obj: 0.165885 (0.165885)  NNZ: 3 (3)  Ttime: 1.4020 Vtime: 0.0509
Stat: nPR #20 (#24) Dim/MaxDim [160/640] AUC: 0.961944 FPR95: 25.51 [saved]
Best: 700000  Loss: 0.060760 Regul: 0.039233 Obj: 0.099993 (0.099993)  NNZ: 6 (6)  Ttime: 1.3961 Vtime: 0.0514
Stat: nPR #44 (#48) Dim/MaxDim [352/640] AUC: 0.978188 FPR95: 12.32 [saved]
Step: 800000  Loss: 0.109360 Regul: 0.100250 Obj: 0.209610 (0.099993)  NNZ: 8 (6)  Ttime: 1.4083 Vtime: 0.0514
Step: 900000  Loss: 0.089765 Regul: 0.032092 Obj: 0.121858 (0.099993)  NNZ: 3 (6)  Ttime: 1.3956 Vtime: 0.0514
Step: 1000000  Loss: 0.112757 Regul: 0.054083 Obj: 0.166840 (0.099993)  NNZ: 6 (6)  Ttime: 1.3992 Vtime: 0.0510
Step: 1100000  Loss: 0.104441 Regul: 0.058044 Obj: 0.162485 (0.099993)  NNZ: 5 (6)  Ttime: 1.3983 Vtime: 0.0519
Step: 1200000  Loss: 0.097384 Regul: 0.048816 Obj: 0.146200 (0.099993)  NNZ: 4 (6)  Ttime: 1.4015 Vtime: 0.0514
Step: 1300000  Loss: 0.107518 Regul: 0.076465 Obj: 0.183983 (0.099993)  NNZ: 8 (6)  Ttime: 1.3968 Vtime: 0.0513
Step: 1400000  Loss: 0.072369 Regul: 0.028723 Obj: 0.101093 (0.099993)  NNZ: 4 (6)  Ttime: 1.3925 Vtime: 0.0508
Step: 1500000  Loss: 0.183638 Regul: 0.105261 Obj: 0.288899 (0.099993)  NNZ: 9 (6)  Ttime: 1.3971 Vtime: 0.0510
Step: 1600000  Loss: 0.106257 Regul: 0.089246 Obj: 0.195503 (0.099993)  NNZ: 10 (6)  Ttime: 1.3949 Vtime: 0.0515
