mu: 0.0025 gamma: 0.015 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 2.588065 Regul: 0.126229 Obj: 2.714293 (2.714293)  NNZ: 28 (28)  Ttime: 1.4035 Vtime: 0.2440
Stat: nPR #204 (#224) Dim/MaxDim [1632/640] AUC: 0.979416 FPR95: 9.01
Best: 200000  Loss: 1.299178 Regul: 0.072839 Obj: 1.372017 (1.372017)  NNZ: 21 (21)  Ttime: 1.4414 Vtime: 0.0518
Stat: nPR #132 (#168) Dim/MaxDim [1056/640] AUC: 0.980902 FPR95: 8.29
Best: 300000  Loss: 0.994122 Regul: 0.044745 Obj: 1.038867 (1.038867)  NNZ: 13 (13)  Ttime: 1.3906 Vtime: 0.0512
Stat: nPR #80 (#104) Dim/MaxDim [640/640] AUC: 0.977296 FPR95: 11.35 [saved]
Best: 400000  Loss: 0.803963 Regul: 0.023108 Obj: 0.827070 (0.827070)  NNZ: 11 (11)  Ttime: 1.3939 Vtime: 0.0518
Stat: nPR #88 (#88) Dim/MaxDim [704/640] AUC: 0.968441 FPR95: 18.81
Best: 500000  Loss: 0.305220 Regul: 0.013886 Obj: 0.319106 (0.319106)  NNZ: 10 (10)  Ttime: 1.3929 Vtime: 0.0513
Stat: nPR #68 (#80) Dim/MaxDim [544/640] AUC: 0.975080 FPR95: 12.99 [saved]
Step: 600000  Loss: 0.816499 Regul: 0.036427 Obj: 0.852926 (0.319106)  NNZ: 14 (10)  Ttime: 1.3896 Vtime: 0.0516
Step: 700000  Loss: 0.423317 Regul: 0.017339 Obj: 0.440656 (0.319106)  NNZ: 13 (10)  Ttime: 1.3902 Vtime: 0.0512
Step: 800000  Loss: 0.997704 Regul: 0.031428 Obj: 1.029132 (0.319106)  NNZ: 15 (10)  Ttime: 1.3923 Vtime: 0.0513
Best: 900000  Loss: 0.238310 Regul: 0.008687 Obj: 0.246997 (0.246997)  NNZ: 5 (5)  Ttime: 1.3916 Vtime: 0.0516
Stat: nPR #36 (#40) Dim/MaxDim [288/640] AUC: 0.975695 FPR95: 12.18 [saved]
Step: 1000000  Loss: 0.478252 Regul: 0.018971 Obj: 0.497222 (0.246997)  NNZ: 11 (5)  Ttime: 1.3897 Vtime: 0.0516
Best: 1100000  Loss: 0.223154 Regul: 0.008379 Obj: 0.231533 (0.231533)  NNZ: 8 (8)  Ttime: 1.3910 Vtime: 0.0515
Stat: nPR #56 (#64) Dim/MaxDim [448/640] AUC: 0.976444 FPR95: 12.93 [saved]
Step: 1200000  Loss: 0.850554 Regul: 0.038754 Obj: 0.889308 (0.231533)  NNZ: 16 (8)  Ttime: 1.3925 Vtime: 0.0514
Step: 1300000  Loss: 0.768698 Regul: 0.022024 Obj: 0.790722 (0.231533)  NNZ: 14 (8)  Ttime: 1.3951 Vtime: 0.0512
Best: 1400000  Loss: 0.194493 Regul: 0.007950 Obj: 0.202443 (0.202443)  NNZ: 7 (7)  Ttime: 1.3904 Vtime: 0.0515
Stat: nPR #48 (#56) Dim/MaxDim [384/640] AUC: 0.974652 FPR95: 13.38 [saved]
Step: 1500000  Loss: 0.589906 Regul: 0.030949 Obj: 0.620855 (0.202443)  NNZ: 14 (7)  Ttime: 1.3909 Vtime: 0.0510
Step: 1600000  Loss: 0.208453 Regul: 0.007077 Obj: 0.215530 (0.202443)  NNZ: 6 (7)  Ttime: 1.3904 Vtime: 0.0513
Best: 1700000  Loss: 0.072671 Regul: 0.002577 Obj: 0.075247 (0.075247)  NNZ: 4 (4)  Ttime: 1.3890 Vtime: 0.0512
Stat: nPR #24 (#32) Dim/MaxDim [192/640] AUC: 0.980066 FPR95: 8.81 [saved]
Step: 1800000  Loss: 0.191661 Regul: 0.008560 Obj: 0.200221 (0.075247)  NNZ: 9 (4)  Ttime: 1.3914 Vtime: 0.0514
Step: 1900000  Loss: 0.214328 Regul: 0.006266 Obj: 0.220594 (0.075247)  NNZ: 5 (4)  Ttime: 1.3890 Vtime: 0.0513
Step: 2000000  Loss: 0.084644 Regul: 0.002556 Obj: 0.087200 (0.075247)  NNZ: 3 (4)  Ttime: 1.3899 Vtime: 0.0519
Step: 2100000  Loss: 0.170403 Regul: 0.006705 Obj: 0.177109 (0.075247)  NNZ: 7 (4)  Ttime: 1.3878 Vtime: 0.0522
Step: 2200000  Loss: 0.101540 Regul: 0.003941 Obj: 0.105480 (0.075247)  NNZ: 6 (4)  Ttime: 1.3974 Vtime: 0.0518
Step: 2300000  Loss: 0.232105 Regul: 0.008062 Obj: 0.240168 (0.075247)  NNZ: 9 (4)  Ttime: 1.3909 Vtime: 0.0514
Step: 2400000  Loss: 0.386233 Regul: 0.021420 Obj: 0.407653 (0.075247)  NNZ: 18 (4)  Ttime: 1.3921 Vtime: 0.0509
Step: 2500000  Loss: 0.435447 Regul: 0.014094 Obj: 0.449541 (0.075247)  NNZ: 12 (4)  Ttime: 1.3903 Vtime: 0.0513
Step: 2600000  Loss: 0.450134 Regul: 0.016116 Obj: 0.466250 (0.075247)  NNZ: 10 (4)  Ttime: 1.3916 Vtime: 0.0527
