mu: 0.06 gamma: 0.01 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.128574 Regul: 0.045930 Obj: 0.174504 (0.174504)  NNZ: 1 (1)  Ttime: 1.3775 Vtime: 0.2071
Stat: nPR #8 (#8) Dim/MaxDim [64/640] AUC: 0.961843 FPR95: 23.49 [saved]
Step: 200000  Loss: 4.250032 Regul: 3.923818 Obj: 8.173850 (0.174504)  NNZ: 25 (1)  Ttime: 1.3880 Vtime: 0.0524
Step: 300000  Loss: 0.616189 Regul: 0.562603 Obj: 1.178791 (0.174504)  NNZ: 9 (1)  Ttime: 1.3903 Vtime: 0.0519
Step: 400000  Loss: 0.285661 Regul: 0.324360 Obj: 0.610022 (0.174504)  NNZ: 7 (1)  Ttime: 1.3779 Vtime: 0.0519
Best: 500000  Loss: 0.094514 Regul: 0.013066 Obj: 0.107581 (0.107581)  NNZ: 2 (2)  Ttime: 1.3772 Vtime: 0.0518
Stat: nPR #12 (#16) Dim/MaxDim [96/640] AUC: 0.966054 FPR95: 20.33 [saved]
Step: 600000  Loss: 0.269505 Regul: 0.220078 Obj: 0.489583 (0.107581)  NNZ: 5 (2)  Ttime: 1.3779 Vtime: 0.0510
Step: 700000  Loss: 0.198843 Regul: 0.149414 Obj: 0.348257 (0.107581)  NNZ: 8 (2)  Ttime: 1.3710 Vtime: 0.0512
Step: 800000  Loss: 0.244932 Regul: 0.121055 Obj: 0.365987 (0.107581)  NNZ: 2 (2)  Ttime: 1.3724 Vtime: 0.0523
Step: 900000  Loss: 0.280478 Regul: 0.265869 Obj: 0.546348 (0.107581)  NNZ: 5 (2)  Ttime: 1.3732 Vtime: 0.0514
Step: 1000000  Loss: 0.246111 Regul: 0.184687 Obj: 0.430798 (0.107581)  NNZ: 8 (2)  Ttime: 1.3711 Vtime: 0.0509
Step: 1100000  Loss: 0.171473 Regul: 0.132422 Obj: 0.303894 (0.107581)  NNZ: 5 (2)  Ttime: 1.3731 Vtime: 0.0513
Step: 1200000  Loss: 0.547641 Regul: 0.391641 Obj: 0.939282 (0.107581)  NNZ: 7 (2)  Ttime: 1.3724 Vtime: 0.0507
Step: 1300000  Loss: 0.141913 Regul: 0.138516 Obj: 0.280428 (0.107581)  NNZ: 7 (2)  Ttime: 1.3710 Vtime: 0.0512
Step: 1400000  Loss: 0.091712 Regul: 0.037148 Obj: 0.128860 (0.107581)  NNZ: 3 (2)  Ttime: 1.3720 Vtime: 0.0511
Step: 1500000  Loss: 0.190502 Regul: 0.147305 Obj: 0.337807 (0.107581)  NNZ: 5 (2)  Ttime: 1.3749 Vtime: 0.0516
Step: 1600000  Loss: 0.104725 Regul: 0.061465 Obj: 0.166190 (0.107581)  NNZ: 4 (2)  Ttime: 1.3722 Vtime: 0.0515
Step: 1700000  Loss: 0.158280 Regul: 0.160195 Obj: 0.318476 (0.107581)  NNZ: 6 (2)  Ttime: 1.3764 Vtime: 0.0510
Step: 1800000  Loss: 0.157696 Regul: 0.117363 Obj: 0.275059 (0.107581)  NNZ: 5 (2)  Ttime: 1.3738 Vtime: 0.0517
Step: 1900000  Loss: 0.277674 Regul: 0.155566 Obj: 0.433241 (0.107581)  NNZ: 5 (2)  Ttime: 1.3727 Vtime: 0.0519
Step: 2000000  Loss: 0.099337 Regul: 0.041602 Obj: 0.140938 (0.107581)  NNZ: 3 (2)  Ttime: 1.3714 Vtime: 0.0514
Step: 2100000  Loss: 0.169506 Regul: 0.157500 Obj: 0.327006 (0.107581)  NNZ: 6 (2)  Ttime: 1.3707 Vtime: 0.0519
Step: 2200000  Loss: 0.104172 Regul: 0.051328 Obj: 0.155500 (0.107581)  NNZ: 3 (2)  Ttime: 1.3695 Vtime: 0.0514
Step: 2300000  Loss: 0.529654 Regul: 0.437344 Obj: 0.966998 (0.107581)  NNZ: 10 (2)  Ttime: 1.3737 Vtime: 0.0516
Step: 2400000  Loss: 0.073878 Regul: 0.050566 Obj: 0.124445 (0.107581)  NNZ: 5 (2)  Ttime: 1.3725 Vtime: 0.0523
Step: 2500000  Loss: 0.138698 Regul: 0.096973 Obj: 0.235671 (0.107581)  NNZ: 4 (2)  Ttime: 1.3720 Vtime: 0.0509
Step: 2600000  Loss: 0.215134 Regul: 0.173906 Obj: 0.389041 (0.107581)  NNZ: 5 (2)  Ttime: 1.3763 Vtime: 0.0519
Step: 2700000  Loss: 0.429768 Regul: 0.468750 Obj: 0.898518 (0.107581)  NNZ: 11 (2)  Ttime: 1.3739 Vtime: 0.0512
Step: 2800000  Loss: 0.116358 Regul: 0.077930 Obj: 0.194288 (0.107581)  NNZ: 4 (2)  Ttime: 1.3721 Vtime: 0.0509
Step: 2900000  Loss: 0.490470 Regul: 0.126387 Obj: 0.616857 (0.107581)  NNZ: 4 (2)  Ttime: 1.3714 Vtime: 0.0512
Step: 3000000  Loss: 0.260302 Regul: 0.196172 Obj: 0.456474 (0.107581)  NNZ: 7 (2)  Ttime: 1.3722 Vtime: 0.0512
Step: 3100000  Loss: 0.259326 Regul: 0.059238 Obj: 0.318564 (0.107581)  NNZ: 3 (2)  Ttime: 1.3709 Vtime: 0.0513
Step: 3200000  Loss: 0.177276 Regul: 0.102070 Obj: 0.279346 (0.107581)  NNZ: 5 (2)  Ttime: 1.3730 Vtime: 0.0519
Step: 3300000  Loss: 0.086215 Regul: 0.033457 Obj: 0.119672 (0.107581)  NNZ: 3 (2)  Ttime: 1.3720 Vtime: 0.0516
Step: 3400000  Loss: 0.147647 Regul: 0.069199 Obj: 0.216846 (0.107581)  NNZ: 3 (2)  Ttime: 1.3765 Vtime: 0.0520
Step: 3500000  Loss: 0.299002 Regul: 0.347227 Obj: 0.646228 (0.107581)  NNZ: 11 (2)  Ttime: 1.3671 Vtime: 0.0509
Step: 3600000  Loss: 0.107017 Regul: 0.083848 Obj: 0.190864 (0.107581)  NNZ: 5 (2)  Ttime: 1.3736 Vtime: 0.0510
Step: 3700000  Loss: 0.130317 Regul: 0.058184 Obj: 0.188501 (0.107581)  NNZ: 2 (2)  Ttime: 1.3749 Vtime: 0.0516
Step: 3800000  Loss: 0.405318 Regul: 0.161953 Obj: 0.567271 (0.107581)  NNZ: 7 (2)  Ttime: 1.3724 Vtime: 0.0518
Step: 3900000  Loss: 0.083045 Regul: 0.046348 Obj: 0.129393 (0.107581)  NNZ: 5 (2)  Ttime: 1.3722 Vtime: 0.0516
Step: 4000000  Loss: 0.102012 Regul: 0.048281 Obj: 0.150293 (0.107581)  NNZ: 3 (2)  Ttime: 1.3712 Vtime: 0.0513
Step: 4100000  Loss: 0.262031 Regul: 0.132246 Obj: 0.394277 (0.107581)  NNZ: 9 (2)  Ttime: 1.3757 Vtime: 0.0514
Step: 4200000  Loss: 0.200451 Regul: 0.208652 Obj: 0.409104 (0.107581)  NNZ: 8 (2)  Ttime: 1.3654 Vtime: 0.0516
Best: 4300000  Loss: 0.059836 Regul: 0.024141 Obj: 0.083977 (0.083977)  NNZ: 2 (2)  Ttime: 1.3738 Vtime: 0.0507
Stat: nPR #16 (#16) Dim/MaxDim [128/640] AUC: 0.977382 FPR95: 10.88 [saved]
Step: 4400000  Loss: 0.161527 Regul: 0.136172 Obj: 0.297699 (0.083977)  NNZ: 7 (2)  Ttime: 1.3762 Vtime: 0.0512
Step: 4500000  Loss: 0.134916 Regul: 0.028301 Obj: 0.163217 (0.083977)  NNZ: 2 (2)  Ttime: 1.3752 Vtime: 0.0519
Step: 4600000  Loss: 0.360713 Regul: 0.107812 Obj: 0.468525 (0.083977)  NNZ: 4 (2)  Ttime: 1.3761 Vtime: 0.0512
Step: 4700000  Loss: 0.162870 Regul: 0.100840 Obj: 0.263710 (0.083977)  NNZ: 6 (2)  Ttime: 1.3715 Vtime: 0.0512
Step: 4800000  Loss: 0.254088 Regul: 0.120703 Obj: 0.374791 (0.083977)  NNZ: 6 (2)  Ttime: 1.3730 Vtime: 0.0513
Step: 4900000  Loss: 0.108388 Regul: 0.058535 Obj: 0.166924 (0.083977)  NNZ: 4 (2)  Ttime: 1.3730 Vtime: 0.0509
Step: 5000000  Loss: 0.107054 Regul: 0.071016 Obj: 0.178070 (0.083977)  NNZ: 5 (2)  Ttime: 1.3753 Vtime: 0.0517
