mu: 0.035 gamma: 0.25 nIters: 50000000
Load PRParams.
Load RingParams.
Load Labels: 500000
Load Distances: 500000 x 5120
0...10...20...30...40...50...60...70...80...90...100 - done.
Positive samples #250000
Negative samples #250000
Positive train #200000
Negative train #200000
Positive valid #50000
Negative valid #50000

Found GPU: GeForce GTX 970
Compute Capability: 5.2

Best: 100000  Loss: 0.174290 Regul: 0.017742 Obj: 0.192032 (0.192032)  NNZ: 4 (4)  Ttime: 1.4044 Vtime: 0.2128
Stat: nPR #28 (#32) Dim/MaxDim [224/640] AUC: 0.937177 FPR95: 37.55 [saved]
Best: 200000  Loss: 0.092713 Regul: 0.021833 Obj: 0.114546 (0.114546)  NNZ: 7 (7)  Ttime: 1.4022 Vtime: 0.0520
Stat: nPR #52 (#56) Dim/MaxDim [416/640] AUC: 0.968735 FPR95: 18.06 [saved]
Step: 300000  Loss: 0.152969 Regul: 0.043110 Obj: 0.196078 (0.114546)  NNZ: 12 (7)  Ttime: 1.3998 Vtime: 0.0509
Best: 400000  Loss: 0.087927 Regul: 0.018293 Obj: 0.106219 (0.106219)  NNZ: 8 (8)  Ttime: 1.3992 Vtime: 0.0510
Stat: nPR #64 (#64) Dim/MaxDim [512/640] AUC: 0.968417 FPR95: 18.25 [saved]
Step: 500000  Loss: 0.094081 Regul: 0.021728 Obj: 0.115809 (0.106219)  NNZ: 11 (8)  Ttime: 1.4179 Vtime: 0.0519
Best: 600000  Loss: 0.084070 Regul: 0.011302 Obj: 0.095372 (0.095372)  NNZ: 10 (10)  Ttime: 1.4064 Vtime: 0.0516
Stat: nPR #72 (#80) Dim/MaxDim [576/640] AUC: 0.967347 FPR95: 18.58 [saved]
Step: 700000  Loss: 0.089300 Regul: 0.012177 Obj: 0.101477 (0.095372)  NNZ: 8 (10)  Ttime: 1.3999 Vtime: 0.0510
Step: 800000  Loss: 0.107639 Regul: 0.023832 Obj: 0.131471 (0.095372)  NNZ: 11 (10)  Ttime: 1.4008 Vtime: 0.0509
Step: 900000  Loss: 0.105503 Regul: 0.030210 Obj: 0.135712 (0.095372)  NNZ: 13 (10)  Ttime: 1.3992 Vtime: 0.0517
Best: 1000000  Loss: 0.074603 Regul: 0.014795 Obj: 0.089398 (0.089398)  NNZ: 10 (10)  Ttime: 1.3984 Vtime: 0.0515
Stat: nPR #68 (#80) Dim/MaxDim [544/640] AUC: 0.971499 FPR95: 15.78 [saved]
